short_name,council_name,abs_lga_name,abs_lga_code,stratum,is_local_government,is_indigenous_council,website,population_latest,population_latest_year,population_10yr_prior,census2021_total_persons,census2021_indigenous_persons,seifa_irsd_score,seifa_irsd_decile_aus,seifa_irsd_percentile_aus,seifa_irsd_decile_state,seifa_irsad_score,seifa_irsad_decile_aus,seifa_ier_score,seifa_ieo_score,median_age,median_personal_income_weekly,median_household_income_weekly,avg_household_size,avg_persons_per_bedroom,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,staff_data_year,staff_fte_indoor,staff_fte_outdoor,staff_fte_total,finance_data_year,total_operating_income_k,net_rates_and_utility_charges_k,employee_expenses_k,water_sewer_data_year,water_connections_total,water_connections_residential,sewerage_connections_total,adri_andri,adri_coping_capacity,adri_adaptive_capacity,adri_information_access,mean_remoteness_score,indigenous_share_pct,is_water_service_provider,above_soci_water_threshold,own_source_revenue_share,staff_per_1000_residents
Isaac,Isaac Regional Council,Isaac,33980,outer_regional,True,False,https://www.isaac.qld.gov.au,23186,2025,22173,22046,1164,1012,8,74,9,971,7,993,905,34,1314,2420,2.6,0.8,2910,113,1213,2015_16,205,182,387,2015_16,96322,75896,31185,2015_16,N/A,N/A,0,0.4734,0.4533,0.4491,0.1288,3.471,5.3,,,0.788,16.69
Kowanyama,Kowanyama Aboriginal Shire Council,Kowanyama,34420,indigenous,True,True,https://www.kowanyama.qld.gov.au,1155,2025,996,1079,937,528,1,3,1,686,1,509,765,29,341,1132,3.7,1.3,858,115,0,2015_16,58,33,91,2015_16,17874,966,6985,2015_16,127,,47,0.1351,0.1392,0.145,0.0283,5.0,86.8,True,False,0.054,78.79
Livingstone,Livingstone Regional Council,Livingstone,34530,outer_regional,True,False,https://www.livingstone.qld.gov.au,43668,2025,36579,39398,2118,1005,7,70,9,970,7,1030,935,43,765,1625,2.5,0.8,2008,350,1733,2015_16,241,121,362,2015_16,89805,62780,29884,2015_16,14096,13349,10822,0.6164,0.5488,0.5865,0.1817,2.882,5.4,True,False,0.699,8.29
Lockhart River,Lockhart River Aboriginal Shire Council,Lockhart River,34570,indigenous,True,True,https://lockhart.qld.gov.au,702,2025,697,640,502,622,1,5,2,744,1,582,794,27,420,1066,3.4,1.2,959,125,0,2015_16,49,32,81,2015_16,18346,122,4547,2015_16,0,,0,0.3093,0.2935,0.3123,0.0569,4.0,78.4,False,False,0.007,115.38
Lockyer Valley,Lockyer Valley Regional Council,Lockyer Valley,34580,regional_city,True,False,https://www.lockyervalley.qld.gov.au,46058,2025,38861,41101,2092,948,3,29,5,921,3,997,902,39,665,1457,2.7,0.8,1684,300,1500,2015_16,154,153,307,2015_16,55123,33725,23825,2015_16,0,Not issued by Council,0,0.6303,0.5379,0.6135,0.5943,2.0,5.1,False,False,0.612,6.67
Logan,Logan Regional Council,Logan,34590,seq_metro,True,False,https://www.logan.qld.gov.au,403515,2025,309342,345098,14520,944,3,27,5,930,4,985,916,34,736,1616,2.9,0.8,1825,350,1733,2015_16,1169,362,1531,2015_16,460677,381336,128204,2015_16,N/A,N/A,0,0.5575,0.4871,0.5427,0.5997,1.0,4.2,,,0.828,3.79
Longreach,Longreach Regional Council,Longreach,34710,very_remote,True,False,https://www.longreach.qld.gov.au,3741,2025,3812,3647,223,1003,7,69,9,976,7,967,967,40,938,1561,2.3,0.7,2094,200,1083,2015_16,64,98,162,2015_16,33447,9010,12622,2015_16,2171,1792,2800,0.475,0.5014,0.4207,0.1097,5.0,6.1,True,False,0.269,43.3
Mackay,Mackay Regional Council,Mackay,34770,outer_regional,True,False,https://www.mackay.qld.gov.au,129253,2025,118292,121691,7507,999,7,67,9,961,6,1007,917,38,866,1853,2.6,0.8,2215,340,1733,2015_16,471,405,876,2015_16,255609,214040,78145,2015_16,45007,41342,39006,0.5762,0.4814,0.5747,0.1835,2.85,6.2,True,False,0.837,6.78
Mapoon,Mapoon Aboriginal Shire Council,Mapoon,34830,indigenous,True,True,https://www.mapoon.qld.gov.au,494,2025,304,432,338,567,1,4,2,700,1,569,795,27,365,1010,3.6,1.2,924,120,0,2015_16,8,36,44,2015_16,9529,0,3060,2015_16,0,,0,0.3093,0.2935,0.3123,0.0569,4.0,78.2,False,False,0.0,89.07
Maranoa,Maranoa Regional Council,Maranoa,34860,remote,True,False,https://www.maranoa.qld.gov.au,13370,2025,13292,12825,1249,995,7,64,8,966,7,988,944,38,875,1588,2.5,0.7,2042,220,1300,2015_16,174,233,407,2015_16,75694,28090,33088,2015_16,4900,4190,4064,0.5038,0.456,0.49,0.1122,3.998,9.7,True,False,0.371,30.44
