short_name,council_name,stratum,abs_lga_code,is_indigenous_council,population_latest,essential_services_score,essential_services_inputs_used,n_above_soci_water_threshold,n_is_water_service_provider,n_mean_remoteness_score,population_vulnerability_score,population_vulnerability_inputs_used,n_seifa_irsd_score,n_avg_persons_per_bedroom,n_indigenous_share_pct,institutional_capacity_score,institutional_capacity_inputs_used,n_own_source_revenue_share,n_indoor_staff_share,n_staff_per_1000_residents,deployment_evidence_score,deployment_evidence_inputs_used,n_ai_deployment_confirmed,ai_risk_index,components_complete,adri_andri,ai_risk_rank,adri_rank,rank_shift
South Burnett,South Burnett Regional Council,regional_city,36630,False,35111,0.7917,3/3,1.0,1.0,0.1667,0.4965,3/3,0.7115,0.3718,0.3269,0.5044,3/3,0.2829,0.7877,0.6333,0.0,1/1,0.0,0.5129,4/4,0.4209,37,37,0
Southern Downs,Southern Downs Regional Council,regional_city,36660,False,38064,0.8061,3/3,1.0,1.0,0.2244,0.3192,3/3,0.609,0.0513,0.2308,0.3593,3/3,0.1908,0.4041,0.7133,0.0,1/1,0.0,0.4294,4/4,0.4956,68,55,-13
Sunshine Coast,Sunshine Coast Regional Council,seq_metro,36720,False,381957,0.4208,3/3,1.0,0.0,0.0833,0.1644,3/3,0.0577,0.3718,0.0449,0.6535,3/3,0.3487,0.9795,0.9267,1.0,1/1,1.0,0.5134,4/4,0.7306,36,78,42
Tablelands,Tablelands Regional Council,outer_regional,36820,False,27902,0.8446,3/3,1.0,1.0,0.3782,0.4292,3/3,0.4551,0.3718,0.4679,0.4501,3/3,0.2566,0.637,0.6533,0.0,1/1,0.0,0.4957,4/4,0.495,46,54,8
Toowoomba,Toowoomba Regional Council,regional_city,36910,False,186276,0.7917,3/3,1.0,1.0,0.1667,0.2987,3/3,0.3333,0.3718,0.141,0.4702,3/3,0.1776,0.7603,0.7667,0.0,1/1,0.0,0.4532,4/4,0.5048,64,61,-3
Torres,Torres Shire Council,indigenous,36950,True,3490,0.9567,3/3,1.0,1.0,0.8269,0.7942,3/3,0.7244,0.8782,0.7885,0.3913,3/3,0.5724,0.0616,0.4333,0.0,1/1,0.0,0.603,4/4,0.3053,13,12,-1
Torres Strait Island,Torres Strait Island Regional Council,indigenous,36960,True,4298,0.9567,3/3,1.0,1.0,0.8269,0.8183,3/3,0.8141,0.7436,0.9295,0.7273,3/3,0.9079,0.7466,0.2467,0.0,1/1,0.0,0.7098,4/4,0.2307,5,6,1
Townsville,Townsville Regional Council,outer_regional,37010,False,206260,0.8446,3/3,1.0,1.0,0.3782,0.3561,3/3,0.2564,0.3718,0.4936,0.3931,3/3,0.0066,0.8151,0.7267,1.0,1/1,1.0,0.6103,4/4,0.6645,12,74,62
Weipa,Weipa Town Authority,very_remote,37300,False,4297,0.8269,1/3,,,0.8269,0.4247,3/3,0.0064,0.7436,0.6474,,,,,,0.0,1/1,0.0,0.3542,2/4,0.4296,73,39,-34
Western Downs,Western Downs Regional Council,outer_regional,37310,False,35452,0.8189,3/3,1.0,1.0,0.2756,0.4554,3/3,0.5449,0.3718,0.4295,0.494,3/3,0.4934,0.5,0.4867,0.0,1/1,0.0,0.5077,4/4,0.4188,41,32,-9
Whitsunday,Whitsunday Regional Council,outer_regional,37340,False,41374,0.8638,3/3,1.0,1.0,0.4551,0.3487,3/3,0.3782,0.3718,0.2692,0.4222,3/3,0.2039,0.6096,0.6867,0.0,1/1,0.0,0.473,4/4,0.4447,52,46,-6
Winton,Winton Regional Council,very_remote,37400,False,1152,0.9567,3/3,1.0,1.0,0.8269,0.3189,3/3,0.2115,0.3718,0.4167,0.5143,3/3,0.6842,0.4452,0.1933,0.0,1/1,0.0,0.521,4/4,0.4189,34,36,2
Woorabinda,Woorabinda Aboriginal Shire Council,indigenous,37550,True,1087,0.3782,1/3,,,0.3782,0.9436,3/3,0.9936,0.8782,0.9551,,,,,,0.0,1/1,0.0,0.3494,2/4,0.4383,74,41,-33
Wujal Wujal,Wujal Wujal Aboriginal Shire Council,indigenous,37570,True,301,0.5458,3/3,1.0,0.0,0.5833,0.9314,3/3,0.9551,0.8782,0.9679,0.6513,3/3,0.9671,0.5548,0.0067,0.0,1/1,0.0,0.592,4/4,0.3093,16,18,2
Yarrabah,Yarrabah Aboriginal Shire Council,indigenous,37600,True,2669,0.4946,3/3,1.0,0.0,0.3782,0.9676,3/3,0.9423,0.9872,0.9808,0.554,3/3,0.875,0.1438,0.3667,0.0,1/1,0.0,0.5565,4/4,0.2662,22,11,-11
